Timestamp,Age,Gender ,Nationality,High_School_System,High_School_Grade,Economic_Status,Scholarship,Attendance,Failed_Courses,GPA,Grade,Rank,Extroversion,Calmness,Failure_Tolerance,Self_Confidence,Procrastination,Self_Motivation ,Peer_Pressure,Group_Study,Peer_Support,Teacher_Support,Teacher_Closeness,School_Belongingness,Teacher_Knowledge,Teacher_Self_Motivation,Teacher_Self_Confidence,Teacher_Openness,Fear_Of_Failure,Working_Hard,Pass_Course,Avoiding_Punishment,Rewards,University_System
3/30/2023 19:48,18-24 years old,Female,Egyptian ,Thanaweya Amma,90%-100%,Medium,No,> 60%,0,1.65,A-,excellent (ممتاز),2,4,3,3,3,4,3,No,No,No,2,Yes,4,No,Yes,No,4,4,5,2,4,German system
3/30/2023 19:52,18-24 years old,Female,Egyptian ,Thanaweya Amma,90%-100%,Medium,No,> 80%,0,0.98,A+,excellent (ممتاز),2,2,2,2,4,2,2,No,Yes,No,2,Yes,4,Yes,Yes,No,4,3,4,2,2,German system
3/30/2023 19:58,18-24 years old,Female,Egyptian ,IGCSE,90%-100%,Medium,No,> 80%,0,,,,4,4,3,4,4,3,3,Yes,Yes,Yes,1,Yes,4,No,Yes,No,3,3,4,2,3,German system
3/30/2023 20:08,18-24 years old,Male,Egyptian,IGCSE,90%-100%,Medium,Yes,> 80%,1,1.17,A,excellent (ممتاز),3,4,4,3,3,3,3,Yes,Yes,Yes,3,Yes,4,Yes,Yes,Yes,3,3,3,2,4,German system
3/30/2023 20:08,18-24 years old,Male,Egyptian,French Baccalaureat,under 65%,Medium,No,> 80%,0,3.88,A+,excellent (ممتاز),4,3,2,5,3,5,1,Yes,No,No,3,No,4,Yes,Yes,No,5,1,1,1,5,Idk 😂 it’s out of 4 tho 🤷‍♂️
3/30/2023 20:09,18-24 years old,Female,Egyptian ,IGCSE,90%-100%,Medium,Yes,> 80%,0,1.7,B+,very good (جيد جدا),5,3,2,4,5,4,4,No,No,Yes,1,Yes,3,Yes,Yes,Yes,5,4,5,1,3,German system
3/30/2023 20:15,25-35 years old,Male,Egyptian ,IGCSE,90%-100%,Medium,No,> 60%,7,3.2,C,good (جيد ),4,4,4,4,4,4,2,Yes,Yes,No,2,Yes,2,No,No,No,3,4,4,3,4,German system
3/30/2023 20:18,18-24 years old,Male,Egyptian ,IGCSE,90%-100%,Medium,No,> 80%,0,1.96,B+,very good (جيد جدا),3,3,4,5,5,5,2,Yes,Yes,Yes,2,No,4,No,Yes,Yes,4,4,4,3,5,German system
3/30/2023 20:20,18-24 years old,Female,Egyptian,French Baccalaureat,90%-100%,Medium,No,> 80%,0,,B+,very good (جيد جدا),5,5,5,4,5,5,3,Yes,Yes,Yes,3,Yes,3,Yes,Yes,Yes,4,4,4,1,5,Frensh system -  bac
3/30/2023 20:21,18-24 years old,Female,Egyptian ,Internacional Baccalaureate ,90%-100%,High,No,> 80%,0,,A,excellent (ممتاز),4,4,2,4,5,3,4,No,Yes,No,2,Yes,4,No,Yes,No,4,4,2,1,4,German system
3/30/2023 20:34,18-24 years old,Female,Egyptian ,French Baccalaureat,90%-100%,Medium,No,> 80%,0,3.94,A+,excellent (ممتاز),3,4,1,5,1,4,4,No,Yes,Yes,4,Yes,4,Yes,Yes,Yes,5,5,2,1,2,American system
3/30/2023 20:35,18-24 years old,Female,Egyptian,SAT,90%-100%,Medium,Yes,> 80%,0,3.8,A,excellent (ممتاز),3,3,3,3,5,4,4,No,Yes,No,1,No,4,Yes,Yes,Yes,3,3,5,1,2,French system
